Risk_Decile,Observations,Actual_Events,Event_Rate,Mean_Probability,Min_Probability,Max_Probability
1,85,2,0.023529411764705882,0.2575887427121529,0.18114450473478869,0.2938064595430285
2,84,0,0.0,0.31128265144176115,0.2938305049680008,0.3239070276835562
3,84,0,0.0,0.33385894661326837,0.3239782664865205,0.3426695190539553
4,84,0,0.0,0.35077072813713284,0.3427426374140199,0.35787464508838907
5,85,2,0.023529411764705882,0.3679476364615925,0.3579804338271185,0.3768389566266838
6,84,2,0.023809523809523808,0.383323900079411,0.37720154506359477,0.3890311507750064
7,84,0,0.0,0.3970950482098334,0.3891649033333629,0.40584706280864397
8,84,2,0.023809523809523808,0.41932592789033823,0.40598846697644597,0.4388224565129213
9,84,5,0.05952380952380952,0.4607250935620479,0.43890831389710955,0.481798101298732
10,85,0,0.0,0.5228291585845752,0.4818411987674061,0.6117803765984733
