Combination,Fold,CV_PR_AUC,CV_ROC_AUC,model__class_weight,model__max_depth,model__max_features,model__min_samples_leaf,model__n_estimators
1,1,0.2659138822726289,0.5965098862921308,balanced,4.0,sqrt,3,300
1,2,0.09022583886698379,0.4994842944210032,balanced,4.0,sqrt,3,300
1,3,0.06942092999437849,0.5584692493008059,balanced,4.0,sqrt,3,300
1,4,0.13453262708491176,0.6710934041611333,balanced,4.0,sqrt,3,300
2,1,0.2687402356194735,0.6019692820362836,balanced,4.0,sqrt,3,500
2,2,0.09088297139462745,0.5015096108766995,balanced,4.0,sqrt,3,500
2,3,0.07288009992895092,0.574225348212555,balanced,4.0,sqrt,3,500
2,4,0.15093166085617038,0.6693629522314781,balanced,4.0,sqrt,3,500
3,1,0.27013057586134503,0.6046812545975024,balanced,4.0,sqrt,5,300
3,2,0.09167864977152243,0.5051476793248945,balanced,4.0,sqrt,5,300
3,3,0.0702485499559675,0.5640628028687731,balanced,4.0,sqrt,5,300
3,4,0.13213598869981802,0.6740713912028653,balanced,4.0,sqrt,5,300
4,1,0.2731157050840979,0.6105926457685251,balanced,4.0,sqrt,5,500
4,2,0.09211104918301677,0.5067791842475386,balanced,4.0,sqrt,5,500
4,3,0.07148558605863586,0.5683825769113615,balanced,4.0,sqrt,5,500
4,4,0.1374121909803407,0.6697653829127932,balanced,4.0,sqrt,5,500
5,1,0.2734793154806658,0.6084478831547507,balanced,4.0,sqrt,10,300
5,2,0.09273266479419515,0.509929676511955,balanced,4.0,sqrt,10,300
5,3,0.07125228567419592,0.57322847727965,balanced,4.0,sqrt,10,300
5,4,0.13947799239909778,0.6669483681435873,balanced,4.0,sqrt,10,300
6,1,0.2808414786871348,0.6206517596802353,balanced,4.0,sqrt,10,500
6,2,0.09240095984483343,0.5092920768870136,balanced,4.0,sqrt,10,500
6,3,0.07346668889854281,0.5815080441946114,balanced,4.0,sqrt,10,500
6,4,0.12133705067709291,0.6579339208821281,balanced,4.0,sqrt,10,500
7,1,0.2717763020855253,0.6011096044596881,balanced,4.0,0.7,3,300
7,2,0.08290137630910317,0.46276605719643693,balanced,4.0,0.7,3,300
7,3,0.05687730284844834,0.48688837814637387,balanced,4.0,0.7,3,300
7,4,0.06010811723734783,0.6254980079681275,balanced,4.0,0.7,3,300
8,1,0.26941278447275985,0.5967890599381387,balanced,4.0,0.7,3,500
8,2,0.08304155237319061,0.46481012658227855,balanced,4.0,0.7,3,500
8,3,0.05716541899655811,0.48633456096142663,balanced,4.0,0.7,3,500
8,4,0.06411953142440338,0.6262223831944947,balanced,4.0,0.7,3,500
9,1,0.270806704379756,0.5977107761027359,balanced,4.0,0.7,5,300
9,2,0.08434917407300505,0.4715799343647445,balanced,4.0,0.7,5,300
9,3,0.05631427965663287,0.4815717331708803,balanced,4.0,0.7,5,300
9,4,0.0606761676772658,0.6259809247857057,balanced,4.0,0.7,5,300
10,1,0.2680844608255906,0.5935010147740466,balanced,4.0,0.7,5,500
10,2,0.08271071588792961,0.46134083450539143,balanced,4.0,0.7,5,500
10,3,0.05680352854144804,0.48229169551131174,balanced,4.0,0.7,5,500
10,4,0.06575329209483674,0.6247736327417602,balanced,4.0,0.7,5,500
11,1,0.2689910580981945,0.5970061949961447,balanced,4.0,0.7,10,300
11,2,0.08106106582430729,0.45295827473042666,balanced,4.0,0.7,10,300
11,3,0.05709207705548543,0.4861684158059425,balanced,4.0,0.7,10,300
11,4,0.06503095349563792,0.6333856493219043,balanced,4.0,0.7,10,300
12,1,0.268514723800674,0.5947905311389398,balanced,4.0,0.7,10,500
12,2,0.08095944786228744,0.4524519456165026,balanced,4.0,0.7,10,500
12,3,0.05725779531404549,0.4842854373771218,balanced,4.0,0.7,10,500
12,4,0.06619595958862953,0.6205078675198197,balanced,4.0,0.7,10,500
13,1,0.2770219197984354,0.6096354789822127,balanced,6.0,sqrt,3,300
13,2,0.09241351718696061,0.5088795124238161,balanced,6.0,sqrt,3,300
13,3,0.06593113057084259,0.5594107385152162,balanced,6.0,sqrt,3,300
13,4,0.0874900960258749,0.6225200209263955,balanced,6.0,sqrt,3,300
14,1,0.2729528325770303,0.6025542172945858,balanced,6.0,sqrt,3,500
14,2,0.09220574045789737,0.5079418659165494,balanced,6.0,sqrt,3,500
14,3,0.06787959925162962,0.565973472156841,balanced,6.0,sqrt,3,500
14,4,0.09357727699893567,0.6143506780956981,balanced,6.0,sqrt,3,500
15,1,0.2706928002426716,0.603821577020907,balanced,6.0,sqrt,5,300
15,2,0.0944341136704208,0.5161931551804969,balanced,6.0,sqrt,5,300
15,3,0.07744736176790253,0.6206629191703819,balanced,6.0,sqrt,5,300
15,4,0.07998037749634913,0.6122982816209908,balanced,6.0,sqrt,5,300
16,1,0.27411795800519073,0.6088910159261919,balanced,6.0,sqrt,5,500
16,2,0.09319756368348715,0.5119924988279418,balanced,6.0,sqrt,5,500
16,3,0.07593370668334366,0.6074820701686374,balanced,6.0,sqrt,5,500
16,4,0.08540563632158818,0.6034448066320576,balanced,6.0,sqrt,5,500
17,1,0.2813510451318783,0.6201465883207927,balanced,6.0,sqrt,10,300
17,2,0.09479481029993568,0.5175621190811064,balanced,6.0,sqrt,10,300
17,3,0.08034118517139202,0.615401655913383,balanced,6.0,sqrt,10,300
17,4,0.07255908830584427,0.5871866071069259,balanced,6.0,sqrt,10,300
18,1,0.2817688844258089,0.6208733260659559,balanced,6.0,sqrt,10,500
18,2,0.09209980946813617,0.5080543834974215,balanced,6.0,sqrt,10,500
18,3,0.07411568266612242,0.587516960651289,balanced,6.0,sqrt,10,500
18,4,0.07461935007034454,0.5788562920037024,balanced,6.0,sqrt,10,500
19,1,0.2684748432348381,0.5934389761860448,balanced,6.0,0.7,3,300
19,2,0.08370601979397893,0.46771683075480547,balanced,6.0,0.7,3,300
19,3,0.06897529275458357,0.5666934344972725,balanced,6.0,0.7,3,300
19,4,0.061761543024097615,0.5989778260694595,balanced,6.0,0.7,3,300
20,1,0.27170030124160727,0.5962351439738375,balanced,6.0,0.7,3,500
20,2,0.08424527850409458,0.4704735114861697,balanced,6.0,0.7,3,500
20,3,0.06542743465530189,0.542131642344862,balanced,6.0,0.7,3,500
20,4,0.06744497802631753,0.5963620266409111,balanced,6.0,0.7,3,500
21,1,0.2684293896796418,0.5937314438151959,balanced,6.0,0.7,5,300
21,2,0.08437686773675449,0.4706985466479137,balanced,6.0,0.7,5,300
21,3,0.0635129350132807,0.5374241962728104,balanced,6.0,0.7,5,300
21,4,0.06328081460943984,0.5743490683729728,balanced,6.0,0.7,5,300
22,1,0.26999637039939606,0.5961908306966933,balanced,6.0,0.7,5,500
22,2,0.08406657286011136,0.469535864978903,balanced,6.0,0.7,5,500
22,3,0.06054804218066473,0.5107025170991055,balanced,6.0,0.7,5,500
22,4,0.07251936024945375,0.5938669564167572,balanced,6.0,0.7,5,500
