Combination,model__n_estimators,model__max_depth,model__min_samples_leaf,model__max_features,model__class_weight,Mean_CV_PR_AUC,Std_CV_PR_AUC,Mean_CV_ROC_AUC,Valid_Folds
50,500,4.0,3,sqrt,balanced_subsample,0.14704908497332075,0.08780641760199885,0.5884187532714671,4
52,500,4.0,5,sqrt,balanced_subsample,0.14589796899357105,0.09174777836667729,0.5887132133545747,4
2,500,4.0,3,sqrt,balanced,0.14585874194980558,0.08845679459876225,0.586766798339254,4
53,300,4.0,10,sqrt,balanced_subsample,0.1452597759853146,0.09197322705404157,0.5893039562528166,4
51,300,4.0,5,sqrt,balanced_subsample,0.14491109285147305,0.09330328389703178,0.5868323466844954,4
5,300,4.0,10,sqrt,balanced,0.14423556458703865,0.09074816678794652,0.5896386012724857,4
4,500,4.0,5,sqrt,balanced,0.1435311328265228,0.09067191521723544,0.5888799474600546,4
6,500,4.0,10,sqrt,balanced,0.14201154452690098,0.094623451392858,0.5923464504109971,4
54,500,4.0,10,sqrt,balanced_subsample,0.1417565718780727,0.09408869287323743,0.5903386410006077,4
3,300,4.0,5,sqrt,balanced,0.14104844107216324,0.08979909094594782,0.5869907819985088,4
49,300,4.0,3,sqrt,balanced_subsample,0.14039187558142746,0.08786217828328935,0.5841059970507121,4
1,300,4.0,3,sqrt,balanced,0.14002331955472574,0.08821010520287238,0.5813892085437683,4
63,300,6.0,5,sqrt,balanced_subsample,0.13322339669021244,0.09297538042267811,0.5765079078793615,4
26,500,8.0,3,sqrt,balanced,0.13270693730366073,0.09593347996788339,0.572628426038132,4
65,300,6.0,10,sqrt,balanced_subsample,0.13245938647500485,0.09834039604091904,0.5755419845433103,4
66,500,6.0,10,sqrt,balanced_subsample,0.13231364163928974,0.09954917418414819,0.5703388173617503,4
17,300,6.0,10,sqrt,balanced,0.13226153222726256,0.09981907359268795,0.585074242605552,4
16,500,6.0,5,sqrt,balanced,0.13216371617340245,0.09489906886193335,0.5829525978887071,4
14,500,6.0,3,sqrt,balanced,0.13165386232137324,0.09493600703240479,0.5727050583659186,4
62,500,6.0,3,sqrt,balanced_subsample,0.13120813388585123,0.08885216201251478,0.5668710342557126,4
13,300,6.0,3,sqrt,balanced,0.13071416589552837,0.09821415448835415,0.5751114377119101,4
18,500,6.0,10,sqrt,balanced,0.130650931657603,0.10109170289827485,0.5738252405545922,4
15,300,6.0,5,sqrt,balanced,0.13063866329433602,0.09366875531695039,0.5882439832481942,4
61,300,6.0,3,sqrt,balanced_subsample,0.13036983605880867,0.08725156586711777,0.566976908130306,4
27,300,8.0,5,sqrt,balanced,0.130116340075706,0.09401227816213104,0.5696251900711703,4
64,500,6.0,5,sqrt,balanced_subsample,0.13000486346450385,0.09673896430441446,0.568032516679532,4
28,500,8.0,5,sqrt,balanced,0.1297213762335042,0.09575789846365261,0.5680480032055685,4
25,300,8.0,3,sqrt,balanced,0.12943494402377845,0.09907738827506009,0.5753912669558754,4
76,500,8.0,5,sqrt,balanced_subsample,0.12827301695830412,0.09575614689752368,0.5711974949494264,4
30,500,8.0,10,sqrt,balanced,0.12790359057974943,0.10318797280755947,0.5706373987811364,4
77,300,8.0,10,sqrt,balanced_subsample,0.1278231849933656,0.10040380453373819,0.559860239812612,4
29,300,8.0,10,sqrt,balanced,0.1277908375053648,0.1014807995985131,0.5692241497122165,4
39,300,,5,sqrt,balanced,0.12719094916160484,0.09786643269471479,0.5618320736289061,4
74,500,8.0,3,sqrt,balanced_subsample,0.12692165452106688,0.0940896890989149,0.5607425354593657,4
75,300,8.0,5,sqrt,balanced_subsample,0.12685910019405983,0.0958631540988371,0.5638663220233048,4
78,500,8.0,10,sqrt,balanced_subsample,0.12632327782127162,0.10184698313152604,0.5606255333242622,4
40,500,,5,sqrt,balanced,0.12539542606146825,0.09983945124593455,0.5612423184660256,4
73,300,8.0,3,sqrt,balanced_subsample,0.12517576370690134,0.09705632126258405,0.5591150891884005,4
68,500,6.0,3,0.7,balanced_subsample,0.12382043554093904,0.10093476947258616,0.5550431228474938,4
37,300,,3,sqrt,balanced,0.12351138955066983,0.0999089463899668,0.5455376427181666,4
32,500,8.0,3,0.7,balanced,0.12281605676479053,0.09688650578606171,0.560442133120345,4
70,500,6.0,5,0.7,balanced_subsample,0.12257361878003314,0.09971444186750203,0.5446179747614547,4
