Model,Threshold,Precision,Recall,F1,Balanced_Accuracy,Alerts,Alert_Rate
Logistic_Regression,0.1,0.14705882352941177,0.3125,0.2,0.5612303407601573,170,0.20166073546856464
Logistic_Regression,0.15,0.16,0.2,0.17777777777777778,0.544954128440367,100,0.11862396204033215
Logistic_Regression,0.2,0.11864406779661017,0.0875,0.10071942446043165,0.5096739842726081,59,0.06998813760379596
Logistic_Regression,0.25,0.15625,0.0625,0.08928571428571429,0.5135566841415465,32,0.03795966785290629
Logistic_Regression,0.3,0.14285714285714285,0.0375,0.0594059405940594,0.5069544560943644,21,0.02491103202846975
Logistic_Regression,0.35,0.2,0.0375,0.06315789473684211,0.5108863040629096,15,0.017793594306049824
Logistic_Regression,0.4,0.0,0.0,0.0,0.49344692005242463,10,0.011862396204033215
Logistic_Regression,0.45,0.0,0.0,0.0,0.4947575360419397,8,0.009489916963226572
Logistic_Regression,0.5,0.0,0.0,0.0,0.49606815203145477,6,0.0071174377224199285
Logistic_Regression,0.55,0.0,0.0,0.0,0.49737876802096986,4,0.004744958481613286
Logistic_Regression,0.6,0.0,0.0,0.0,0.4980340760157274,3,0.0035587188612099642
Logistic_Regression,0.65,0.0,0.0,0.0,0.4986893840104849,2,0.002372479240806643
Logistic_Regression,0.7,0.0,0.0,0.0,0.49934469200524245,1,0.0011862396204033216
Logistic_Regression,0.75,0.0,0.0,0.0,0.5,0,0.0
Logistic_Regression,0.8,0.0,0.0,0.0,0.5,0,0.0
Logistic_Regression,0.85,0.0,0.0,0.0,0.5,0,0.0
Logistic_Regression,0.9,0.0,0.0,0.0,0.5,0,0.0
Random_Forest,0.1,0.09477521263669501,0.975,0.17275747508305647,0.49929554390563563,823,0.9762752075919335
Random_Forest,0.15,0.0962962962962963,0.975,0.1752808988764045,0.5078145478374836,810,0.9608540925266904
Random_Forest,0.2,0.10256410256410256,0.95,0.1851400730816078,0.5392201834862385,741,0.8790035587188612
Random_Forest,0.25,0.1299638989169675,0.9,0.22712933753943218,0.6341415465268676,554,0.6571767497034401
Random_Forest,0.3,0.14903846153846154,0.775,0.25,0.6555209698558322,416,0.49347568208778175
Random_Forest,0.35,0.1595744680851064,0.5625,0.24861878453038674,0.625942005242464,282,0.33451957295373663
Random_Forest,0.4,0.18674698795180722,0.3875,0.25203252032520324,0.6052834207077327,166,0.19691577698695137
Random_Forest,0.45,0.22115384615384615,0.2875,0.25,0.5906700524246395,104,0.12336892052194544
Random_Forest,0.5,0.225,0.1125,0.15,0.5359354521625164,40,0.04744958481613286
Random_Forest,0.55,0.1875,0.0375,0.0625,0.510230996068152,16,0.018979833926453145
Random_Forest,0.6,0.0,0.0,0.0,0.4980340760157274,3,0.0035587188612099642
Random_Forest,0.65,0.0,0.0,0.0,0.5,0,0.0
Random_Forest,0.7,0.0,0.0,0.0,0.5,0,0.0
Random_Forest,0.75,0.0,0.0,0.0,0.5,0,0.0
Random_Forest,0.8,0.0,0.0,0.0,0.5,0,0.0
Random_Forest,0.85,0.0,0.0,0.0,0.5,0,0.0
Random_Forest,0.9,0.0,0.0,0.0,0.5,0,0.0
Hist_Gradient_Boosting,0.1,0.1729957805907173,0.5125,0.2586750788643533,0.6278096330275229,237,0.28113879003558717
Hist_Gradient_Boosting,0.15,0.18181818181818182,0.325,0.23318385650224216,0.5858289646133683,143,0.16963226571767498
Hist_Gradient_Boosting,0.2,0.1941747572815534,0.25,0.2185792349726776,0.5706094364351245,103,0.1221826809015421
Hist_Gradient_Boosting,0.25,0.19117647058823528,0.1625,0.17567567567567569,0.5452080602883356,68,0.08066429418742586
Hist_Gradient_Boosting,0.3,0.08695652173913043,0.05,0.06349206349206349,0.4974770642201835,46,0.054567022538552785
Hist_Gradient_Boosting,0.35,0.08571428571428572,0.0375,0.05217391304347826,0.49778014416775884,35,0.04151838671411625
Hist_Gradient_Boosting,0.4,0.1111111111111111,0.0375,0.056074766355140186,0.5030226081258191,27,0.03202846975088968
Hist_Gradient_Boosting,0.45,0.1,0.025,0.04,0.5007044560943643,20,0.02372479240806643
Hist_Gradient_Boosting,0.5,0.07692307692307693,0.0125,0.021505376344086023,0.49838630406290957,13,0.01542111506524318
Hist_Gradient_Boosting,0.55,0.09090909090909091,0.0125,0.02197802197802198,0.4996969200524246,11,0.013048635824436536
Hist_Gradient_Boosting,0.6,0.0,0.0,0.0,0.49606815203145477,6,0.0071174377224199285
Hist_Gradient_Boosting,0.65,0.0,0.0,0.0,0.4980340760157274,3,0.0035587188612099642
Hist_Gradient_Boosting,0.7,0.0,0.0,0.0,0.49934469200524245,1,0.0011862396204033216
Hist_Gradient_Boosting,0.75,0.0,0.0,0.0,0.5,0,0.0
Hist_Gradient_Boosting,0.8,0.0,0.0,0.0,0.5,0,0.0
Hist_Gradient_Boosting,0.85,0.0,0.0,0.0,0.5,0,0.0
Hist_Gradient_Boosting,0.9,0.0,0.0,0.0,0.5,0,0.0
