Feature,Missing_Percent
Portfolio_Return,0.0
PortfolioWeighted_RSI_14D,0.0
PortfolioWeighted_Price_to_MA_50D,0.0
PortfolioWeighted_Price_to_MA_200D,0.0
PortfolioWeighted_MA_50_to_MA_200,0.0
PortfolioWeighted_Drawdown_20D,0.0
PortfolioWeighted_Drawdown_60D,0.0
PortfolioWeighted_Drawdown_200D,0.0
PortfolioWeighted_Volume_MA_20D,0.0
PortfolioWeighted_Volume_Ratio_20D,0.0
PortfolioWeighted_Volume_Change_1D,0.0
PortfolioWeighted_Intraday_Range,0.0
PortfolioWeighted_ATR_14D_Pct,0.0
PortfolioWeighted_Rolling_Beta_60D,0.0
PortfolioWeighted_MA_200D,0.0
Feature_Stock_Count,0.0
Positive_Return_1D_Ratio,0.0
Positive_Return_5D_Ratio,0.0
Positive_Return_20D_Ratio,0.0
Median_Return_1D,0.0
Median_Return_5D,0.0
Median_Return_20D,0.0
Dispersion_Return_1D,0.0
Dispersion_Return_5D,0.0
Dispersion_Return_20D,0.0
Dispersion_Volatility_20D,0.0
PortfolioWeighted_Price_to_MA_20D,0.0
PortfolioWeighted_MA_50D,0.0
Number_of_Stocks,0.0
Stock_HHI,0.0
Weight_Check,0.0
Portfolio_Value,0.0
Running_Peak,0.0
Current_Drawdown,0.0
Volatility_5D,0.0
Volatility_20D,0.0
Volatility_60D,0.0
Return_5D,0.0
Return_20D,0.0
Max_Drawdown_20D,0.0
Max_Drawdown_60D,0.0
Largest_Stock_Weight,0.0
PortfolioWeighted_MA_20D,0.0
Top_5_Stock_Weight,0.0
Largest_Sector_Weight,0.0
Sector_HHI,0.0
PortfolioWeighted_Return_1D,0.0
PortfolioWeighted_Return_5D,0.0
PortfolioWeighted_Return_10D,0.0
PortfolioWeighted_Return_20D,0.0
PortfolioWeighted_Return_60D,0.0
PortfolioWeighted_Volatility_5D,0.0
PortfolioWeighted_Volatility_20D,0.0
PortfolioWeighted_Volatility_60D,0.0
Market_Return,0.0
