Feature,Dtype,Missing_Percent,Unique_Values,Mean,Std,Min,Max
Portfolio_Return,float64,0.0,5621,0.0011635290605914606,0.012959318925762218,-0.1282851636654783,0.3137724963947909
Number_of_Stocks,int64,0.0,10,46.18248045486852,2.6419397884015137,40.0,49.0
Weight_Check,float64,0.0,1,1.0,0.0,1.0,1.0
Portfolio_Value,float64,0.0,5620,807.5428958859718,932.3483879988562,5.813542555675148,3450.857522637629
Running_Peak,float64,0.0,991,843.9335974361491,971.6287798378818,6.049467707130567,3450.857522637629
Current_Drawdown,float64,0.0,4633,-0.05563597505970267,0.0905211142748539,-0.5589826751218099,0.0
Volatility_5D,float64,0.0,5628,0.009833165407257224,0.009122772207550976,0.0007837633470141,0.156372528075325
Volatility_20D,float64,0.0,5628,0.01086371939853158,0.008127406218372614,0.0034667695116722,0.0850223198239452
Volatility_60D,float64,0.0,5628,0.011478897767817527,0.0072804048028691,0.0047092948967246,0.050274867236983
Return_5D,float64,0.0,5628,0.0060867457172019265,0.03146875640582937,-0.1890633773121306,0.3999299973551971
Return_20D,float64,0.0,5628,0.025095869339044202,0.06901362769230349,-0.360945029357838,0.549558542170949
Max_Drawdown_20D,float64,0.0,4141,-0.02251230110104173,0.03443857844762791,-0.346155206603298,0.0
Max_Drawdown_60D,float64,0.0,4445,-0.03678232789963541,0.054544571290276705,-0.410006771899449,0.0
Stock_HHI,float64,0.0,10,0.021726856778466235,0.0012893337155334406,0.0204081632653061,0.025
Largest_Stock_Weight,float64,0.0,10,0.021726856778466235,0.0012893337155334406,0.0204081632653061,0.025
Top_5_Stock_Weight,float64,0.0,10,0.10863428389233125,0.006446668577667133,0.1020408163265306,0.125
Largest_Sector_Weight,float64,0.0,12,0.18861783112428018,0.013325233182505773,0.1702127659574468,0.2040816326530612
Sector_HHI,float64,0.0,18,0.10285792798706606,0.0037915779926161026,0.0982986767485822,0.1088637715645449
PortfolioWeighted_Return_1D,float64,0.0,5621,0.0011635290605914665,0.01295931892576223,-0.12828516366547824,0.3137724963947906
PortfolioWeighted_Return_5D,float64,0.0,5628,0.005601370446584843,0.029494878796035014,-0.18565683096169255,0.3930428153810137
PortfolioWeighted_Return_10D,float64,0.0,5628,0.011139483710491607,0.04193522950116875,-0.3023892986092814,0.41193853535113933
PortfolioWeighted_Return_20D,float64,0.0,5628,0.022442985924612913,0.06274341061648625,-0.3537897519585831,0.51642989471682
PortfolioWeighted_Return_60D,float64,0.0,5628,0.06910441491149276,0.12676655090879008,-0.3799151833003387,1.003624590305687
PortfolioWeighted_Volatility_5D,float64,0.0,5628,0.018394743974269132,0.009146046056470014,0.0073728611872930045,0.15550936425170658
PortfolioWeighted_Volatility_20D,float64,0.0,5628,0.020193629830388946,0.009300466913495745,0.009557038012823232,0.10744305488900743
PortfolioWeighted_Volatility_60D,float64,0.0,5628,0.021229197906411514,0.009260974165598373,0.011085659475558755,0.0712947914042335
PortfolioWeighted_MA_20D,float64,0.0,5628,987.1501322409514,918.2447550210464,52.98025019586086,3308.2293940485706
PortfolioWeighted_MA_50D,float64,0.0,5628,978.143028180536,911.327905507561,52.927584406796846,3277.811313426734
PortfolioWeighted_MA_200D,float64,0.0,5628,933.9866766252903,876.8829989306038,22.132168423797935,3181.552423094143
PortfolioWeighted_Price_to_MA_20D,float64,0.0,5628,1.0078202258400824,0.033029564875486625,0.7476114934334335,1.177961160468179
PortfolioWeighted_Price_to_MA_50D,float64,0.0,5628,1.020306672714776,0.05666188968503583,0.6809125510760392,1.327426671671758
PortfolioWeighted_Price_to_MA_200D,float64,0.0,5628,1.0823440879392354,0.12660877300292195,0.5965173124476493,1.5576798013790538
PortfolioWeighted_MA_50_to_MA_200,float64,0.0,5628,1.0547372341297445,0.09318135483503572,0.7202195762848476,1.384402652962038
PortfolioWeighted_Drawdown_20D,float64,0.0,5627,-0.04671423976559777,0.03448853479587754,-0.34556275588707286,-0.0026291735118478504
PortfolioWeighted_Drawdown_60D,float64,0.0,5627,-0.08010405609290072,0.05477580692543435,-0.41426183077779494,-0.004625284826446835
PortfolioWeighted_Drawdown_200D,float64,0.0,5624,-0.12555201663033302,0.07798159715085681,-0.5520853726372994,-0.016759704387589714
PortfolioWeighted_Volume_MA_20D,float64,0.0,5628,7766171.058105279,3049481.065332364,3687653.8489795877,20863623.507142834
PortfolioWeighted_Volume_Ratio_20D,float64,0.0,5614,1.009742144629707,0.23332795114536328,0.0,2.9037003708182714
