Rank,Feature,Mean_Absolute_SHAP,Mean_SHAP
1,Volatility_20D,0.03365857002653585,-0.012280082895665708
2,PortfolioWeighted_Volatility_20D,0.02118747206350957,-0.008107784881466648
3,PortfolioWeighted_ATR_14D_Pct,0.020794756542386418,-0.008113163057889226
4,PortfolioWeighted_Drawdown_20D,0.018048248985267933,-0.006602766705549142
5,Dispersion_Volatility_20D,0.017457109375014025,-0.005333512864753409
6,PortfolioWeighted_MA_20D,0.01607491985505183,-0.008966681503495121
7,PortfolioWeighted_MA_200D,0.016006243228243667,-0.009185727147934607
8,PortfolioWeighted_Volatility_5D,0.011645093615760776,-0.005699443955677601
9,PortfolioWeighted_Volatility_60D,0.010491737186762565,-0.007076677193522334
10,PortfolioWeighted_Volume_MA_20D,0.009476630355384976,-0.00528349059454513
11,Portfolio_Value,0.00923733012592924,-0.006425071241884867
12,PortfolioWeighted_Drawdown_60D,0.009148150697158243,-0.003766288420469294
13,PortfolioWeighted_MA_50D,0.008823743072041899,-0.006114727008115123
14,PortfolioWeighted_Intraday_Range,0.008509538285062197,-0.0023936666116422087
15,Max_Drawdown_60D,0.008279187593538772,-0.0028027541928971928
16,PortfolioWeighted_Return_60D,0.007875977178254017,-0.004035508449516738
17,Volatility_60D,0.007821862995650741,-0.005367577348264897
18,Running_Peak,0.007463232857637708,-0.004691868667720103
19,PortfolioWeighted_Price_to_MA_20D,0.0074210181680227786,-0.003194822012583472
20,PortfolioWeighted_RSI_14D,0.007297690482512804,-0.004496809508177282
21,Current_Drawdown,0.006856881306057103,-0.003075709996215218
22,Dispersion_Return_20D,0.00683016256082317,-0.0038964556439393615
23,Max_Drawdown_20D,0.00675526644623155,-0.002841854768745105
24,PortfolioWeighted_MA_50_to_MA_200,0.006221429388485623,-0.005617913115023202
25,Volatility_5D,0.005329507399518799,-0.0025997227315219308
26,PortfolioWeighted_Price_to_MA_50D,0.00471878121593951,-0.0022928513547893483
27,Median_Return_20D,0.004631106308953269,-0.002460816585147232
28,PortfolioWeighted_Price_to_MA_200D,0.004592667562275834,-0.0037186784445243496
29,Dispersion_Return_5D,0.0043061292218747015,-0.002222829738104092
30,PortfolioWeighted_Drawdown_200D,0.0037126248423238525,-0.003270948658596391
31,Return_20D,0.0034697590686187307,-0.002053665866593201
32,PortfolioWeighted_Return_20D,0.002761089894758042,-0.0021954184087127457
33,Positive_Return_20D_Ratio,0.002746090403463851,-0.0014016607778852357
34,PortfolioWeighted_Return_10D,0.0026671535066685463,-0.0016665237770467922
35,Market_Return,0.0022111767482120956,-0.0006904387963894104
36,Dispersion_Return_1D,0.002008262684199011,-0.0010227854364324436
37,PortfolioWeighted_Return_5D,0.001962484493349251,-0.0010159455308747822
38,Positive_Return_5D_Ratio,0.0019293318921813022,-0.0009219544399975189
39,Sector_HHI,0.0019207087443869376,-0.0016288698650421185
40,Median_Return_1D,0.0019121664786890939,-0.0006430743113630891
41,Return_5D,0.0018332856298670073,-0.0009853409780125094
42,Top_5_Stock_Weight,0.0017782743577121943,-0.0006374910977846068
43,Median_Return_5D,0.0017207711368485731,-0.0010044639696418162
44,PortfolioWeighted_Volume_Ratio_20D,0.0016597065522632843,-0.0010938482270924812
45,Stock_HHI,0.001648839469235193,-0.0009653904505596608
46,Largest_Sector_Weight,0.0016327721782318375,-0.0012544207516901511
47,PortfolioWeighted_Return_1D,0.0016302593984085791,-0.000572826647323233
48,Number_of_Stocks,0.0013692725685324515,-0.0009632782858613893
49,Portfolio_Return,0.0012822629512425966,-0.0005299456881462539
50,Positive_Return_1D_Ratio,0.0012557987327592682,-0.0005151137394135155
51,Feature_Stock_Count,0.0012087582693367082,-0.0008716644690322756
52,Largest_Stock_Weight,0.0010201676661155182,-0.0006299581477963565
53,PortfolioWeighted_Rolling_Beta_60D,0.0008345232890237072,-0.0005641425315982542
54,PortfolioWeighted_Volume_Change_1D,0.0005371062683028096,-0.0004225649454348887
55,Weight_Check,0.0,0.0
