Threshold,Precision,Recall,F1,Balanced_Accuracy,Alerts,Alert_Rate
0.1,0.09477521263669501,0.975,0.17275747508305647,0.49929554390563563,823,0.9762752075919335
0.15,0.0962962962962963,0.975,0.1752808988764045,0.5078145478374836,810,0.9608540925266904
0.2,0.10256410256410256,0.95,0.1851400730816078,0.5392201834862385,741,0.8790035587188612
0.25,0.1299638989169675,0.9,0.22712933753943218,0.6341415465268676,554,0.6571767497034401
0.3,0.14903846153846154,0.775,0.25,0.6555209698558322,416,0.49347568208778175
0.35,0.1595744680851064,0.5625,0.24861878453038674,0.625942005242464,282,0.33451957295373663
0.4,0.18674698795180722,0.3875,0.25203252032520324,0.6052834207077327,166,0.19691577698695137
0.45,0.22115384615384615,0.2875,0.25,0.5906700524246395,104,0.12336892052194544
0.5,0.225,0.1125,0.15,0.5359354521625164,40,0.04744958481613286
0.55,0.1875,0.0375,0.0625,0.510230996068152,16,0.018979833926453145
0.6,0.0,0.0,0.0,0.4980340760157274,3,0.0035587188612099642
0.65,0.0,0.0,0.0,0.5,0,0.0
0.7,0.0,0.0,0.0,0.5,0,0.0
0.75,0.0,0.0,0.0,0.5,0,0.0
0.8,0.0,0.0,0.0,0.5,0,0.0
0.85,0.0,0.0,0.0,0.5,0,0.0
0.9,0.0,0.0,0.0,0.5,0,0.0
